emoji,description_en,description_es,description_pt
👷🏼‍♀,woman construction worker medium-light skin tone,Mujer trabajadora de construcción tono de piel de luz media,Mulher trabalhadora da construção de luz de luz média-luz
👷🏽‍♀️,woman construction worker medium skin tone,Mujer trabajadora de construcción tono de piel mediana,Tom de pele de trabalhador da construção civil
👷🏽‍♀,woman construction worker medium skin tone,Mujer trabajadora de construcción tono de piel mediana,Tom de pele de trabalhador da construção civil
👩‍🍳,woman cook,Mujer cocinera,mulher cozinheira
👩🏿‍🍳,woman cook dark skin tone,Mujer cocinar tono de piel oscura,Mulher cozinhe o tom escuro da pele
👩🏻‍🍳,woman cook light skin tone,Mujer cocinar tono de piel claro,Mulher cozinheira de tom de pele clara
👩🏾‍🍳,woman cook medium-dark skin tone,Mujer Cook Medium Dark Skin Tono,Mulher cozinheira tom de pele média escuro
👩🏼‍🍳,woman cook medium-light skin tone,Mujer cocinar tono de piel de luz media,Mulher cozinhe o tom de pele de luz média
👩🏽‍🍳,woman cook medium skin tone,Mujer cocinar tono de piel mediana,Mulher cozinheira tom de pele média
👩‍🦱,woman curly hair,Mujer cabello rizado,Cabelo encaracolado da mulher
💃,woman dancing,Mujer bailando,mulher dançando
💃🏿,woman dancing dark skin tone,Mujer bailando tono de piel oscura,Mulher dançando tom de pele escura
💃🏻,woman dancing light skin tone,Mujer bailando tono de piel clara,Mulher dançando tom de pele clara
💃🏾,woman dancing medium-dark skin tone,Mujer bailando mediano medio-oscuridad Tono de piel,Mulher dançando tom de pele de médio escuro
💃🏼,woman dancing medium-light skin tone,Mujer bailando tono de piel de luz media,Mulher dançando tom de pele de luz média
💃🏽,woman dancing medium skin tone,Mujer bailando tono de piel mediana,Mulher dançando tom de pele média
👩🏿,woman dark skin tone,Mujer tono de piel oscura,Tom da pele escura da mulher
👩🏿‍🦲,woman dark skin tone bald,Mujer tono de piel oscura calva,Mulher Skin Tom de pele escura careca
🧔🏿‍♀️,woman dark skin tone beard,Mujer Barba de tono de piel oscura,Mulher Skin Tone Barba
🧔🏿‍♀,woman dark skin tone beard,Mujer Barba de tono de piel oscura,Mulher Skin Tone Barba
👱🏿‍♀️,woman dark skin tone blond hair,mujer de piel oscura tono rubio cabello,Cabelo loiro da pele escura de mulher
👱🏿‍♀,woman dark skin tone blond hair,mujer de piel oscura tono rubio cabello,Cabelo loiro da pele escura de mulher
👩🏿‍🦱,woman dark skin tone curly hair,Mujer Tono de piel oscura Cabello rizado,Cabelo cacheado da pele escura
👩🏿‍🦰,woman dark skin tone red hair,mujer de piel oscura tono rojo,Mulher Skin Tone Rossa Cabelo Rosel
👩🏿‍🦳,woman dark skin tone white hair,mujer de piel oscura tono blanco,Cabelo branco da pele escura
🕵️‍♀️,woman detective,detective de mujeres,detetive da mulher
🕵‍♀️,woman detective,detective de mujeres,detetive da mulher
🕵️‍♀,woman detective,detective de mujeres,detetive da mulher
🕵‍♀,woman detective,detective de mujeres,detetive da mulher
🕵🏿‍♀️,woman detective dark skin tone,Mujer detective tono de piel oscura,Detetive da mulher Tom de pele escura
🕵🏿‍♀,woman detective dark skin tone,Mujer detective tono de piel oscura,Detetive da mulher Tom de pele escura
🕵🏻‍♀️,woman detective light skin tone,Mujer detective tono de piel clara,Tom da pele leve do detetive da mulher
🕵🏻‍♀,woman detective light skin tone,Mujer detective tono de piel clara,Tom da pele leve do detetive da mulher
🕵🏾‍♀️,woman detective medium-dark skin tone,Mujer detective mediano dark skin tono,Tom de pele de detetive de mulheres médias
🕵🏾‍♀,woman detective medium-dark skin tone,Mujer detective mediano dark skin tono,Tom de pele de detetive de mulheres médias
🕵🏼‍♀️,woman detective medium-light skin tone,Mujer detective tono de piel de luz media,Tom de pele de detetive de detetive mulher
🕵🏼‍♀,woman detective medium-light skin tone,Mujer detective tono de piel de luz media,Tom de pele de detetive de detetive mulher
🕵🏽‍♀️,woman detective medium skin tone,Mujer detective tono de piel mediana,Tom de pele de detetive de mulher
🕵🏽‍♀,woman detective medium skin tone,Mujer detective tono de piel mediana,Tom de pele de detetive de mulher
🧝‍♀️,woman elf,mujer elfo,Mulher Elf
🧝‍♀,woman elf,mujer elfo,Mulher Elf
🧝🏿‍♀️,woman elf dark skin tone,Mujer elfo tono de piel oscura,Tom da pele escura do elfo da mulher
🧝🏿‍♀,woman elf dark skin tone,Mujer elfo tono de piel oscura,Tom da pele escura do elfo da mulher
🧝🏻‍♀️,woman elf light skin tone,Mujer tono de piel de luz elfo,tom de pele clara da mulher elfa
🧝🏻‍♀,woman elf light skin tone,Mujer tono de piel de luz elfo,tom de pele clara da mulher elfa
🧝🏾‍♀️,woman elf medium-dark skin tone,Mujer elfo el tono de piel medio-oscuridad,Tom de pele de elfo-elfo da mulher
🧝🏾‍♀,woman elf medium-dark skin tone,Mujer elfo el tono de piel medio-oscuridad,Tom de pele de elfo-elfo da mulher
🧝🏼‍♀️,woman elf medium-light skin tone,Mujer elfo el tono de piel de luz media,tom de pele de elfo elfo da mulher
🧝🏼‍♀,woman elf medium-light skin tone,Mujer elfo el tono de piel de luz media,tom de pele de elfo elfo da mulher
🧝🏽‍♀️,woman elf medium skin tone,Mujer elfo el tono de piel mediana,Tom de pele média elfa mulher
🧝🏽‍♀,woman elf medium skin tone,Mujer elfo el tono de piel mediana,Tom de pele média elfa mulher
🤦‍♀️,woman facepalming,Mujer Facepalming,Mulher FacePalming
🤦‍♀,woman facepalming,Mujer Facepalming,Mulher FacePalming
🤦🏿‍♀️,woman facepalming dark skin tone,Mujer Facepalming Tono de piel oscura,Mulher Facepalming Skin Tom
🤦🏿‍♀,woman facepalming dark skin tone,Mujer Facepalming Tono de piel oscura,Mulher Facepalming Skin Tom
🤦🏻‍♀️,woman facepalming light skin tone,Mujer Facepalming Light Skin Tono,Mulher Facepalming Skin Tom
🤦🏻‍♀,woman facepalming light skin tone,Mujer Facepalming Light Skin Tono,Mulher Facepalming Skin Tom
🤦🏾‍♀️,woman facepalming medium-dark skin tone,Mujer Facepalicela de piel de color medio-oscuridad,Mulher Facepalming Medium-Dark Skin Tom
🤦🏾‍♀,woman facepalming medium-dark skin tone,Mujer Facepalicela de piel de color medio-oscuridad,Mulher Facepalming Medium-Dark Skin Tom
🤦🏼‍♀️,woman facepalming medium-light skin tone,Mujer Facepalicela de piel de luz media,Mulher Facepalming Mei-Light Skin Tom
🤦🏼‍♀,woman facepalming medium-light skin tone,Mujer Facepalicela de piel de luz media,Mulher Facepalming Mei-Light Skin Tom
🤦🏽‍♀️,woman facepalming medium skin tone,Mujer Facepalicia de piel media de piel,Mulher Facepalming Medium Skin Tom
🤦🏽‍♀,woman facepalming medium skin tone,Mujer Facepalicia de piel media de piel,Mulher Facepalming Medium Skin Tom
👩‍🏭,woman factory worker,Mujer trabajadora de fábrica,trabalhadora da fábrica
👩🏿‍🏭,woman factory worker dark skin tone,Mujer trabajadora de fábrica tono de piel oscura,Tom de pele escura da fábrica de fábrica
👩🏻‍🏭,woman factory worker light skin tone,Mujer trabajador de fábrica tono de piel clara,Tom de pele leve para trabalhador fábrica
👩🏾‍🏭,woman factory worker medium-dark skin tone,Mujer trabajador de fábrica tono de piel medio-oscuridad,Mulher Trabalhador de Fábrica de Tom de Pele Médio Dark
👩🏼‍🏭,woman factory worker medium-light skin tone,Mujer trabajadora de fábrica tono de piel de luz media,tom de fábrica de fábrica tom de pele de luz média
👩🏽‍🏭,woman factory worker medium skin tone,Mujer trabajador de fábrica tono de piel mediana,tom de fábrica de fábrica tom de pele média
🧚‍♀️,woman fairy,mujer hada,Fada da mulher
🧚‍♀,woman fairy,mujer hada,Fada da mulher
🧚🏿‍♀️,woman fairy dark skin tone,Mujer hada de piel oscura tono,Tom da pele escura de fada fada
🧚🏿‍♀,woman fairy dark skin tone,Mujer hada de piel oscura tono,Tom da pele escura de fada fada
🧚🏻‍♀️,woman fairy light skin tone,Mujer Tono de piel clara de hadas,tom de pele de fada fada
🧚🏻‍♀,woman fairy light skin tone,Mujer Tono de piel clara de hadas,tom de pele de fada fada
🧚🏾‍♀️,woman fairy medium-dark skin tone,Mujer hada de la piel mediana-oscuridad,Tom de pele de fada de fada de fada
🧚🏾‍♀,woman fairy medium-dark skin tone,Mujer hada de la piel mediana-oscuridad,Tom de pele de fada de fada de fada
🧚🏼‍♀️,woman fairy medium-light skin tone,Mujer Fairy Tono de piel de luz media,Tom de pele de fada fada fada
🧚🏼‍♀,woman fairy medium-light skin tone,Mujer Fairy Tono de piel de luz media,Tom de pele de fada fada fada
🧚🏽‍♀️,woman fairy medium skin tone,Mujer Fairy Medium Skin Tono,Tom de pele média fada fada
🧚🏽‍♀,woman fairy medium skin tone,Mujer Fairy Medium Skin Tono,Tom de pele média fada fada
👩‍🌾,woman farmer,mujer agricultor,Fazendeiro
👩🏿‍🌾,woman farmer dark skin tone,mujer granja tono de piel oscura,Tom da pele escura do fazendeiro
👩🏻‍🌾,woman farmer light skin tone,Mujer agricultor tono de piel clara,Tom da pele leve do fazendeiro
👩🏾‍🌾,woman farmer medium-dark skin tone,Mujer agricultor medio-dark piel tono,Tom de pele do agricultor de agricultor
👩🏼‍🌾,woman farmer medium-light skin tone,Mujer agricultor tono de piel de luz media,Tom de pele de fábrica de agricultores de agricultor
👩🏽‍🌾,woman farmer medium skin tone,Mujer agricultor tono de piel mediana,Tom de pele média do fazendeiro
👩‍🍼,woman feeding baby,Mujer alimentando bebé,mulher alimentando bebê
👩🏿‍🍼,woman feeding baby dark skin tone,mujer alimentando bebé tono de piel oscura,Mulher alimentando o tom de pele escura do bebê
👩🏻‍🍼,woman feeding baby light skin tone,Mujer alimentando el tono de piel de luz del bebé,Mulher alimentando o tom de pele leve de bebê
👩🏾‍🍼,woman feeding baby medium-dark skin tone,Mujer alimentando bebé tono de piel medio-oscuridad,Mulher alimentando o tom de pele de médio escuro bebê
👩🏼‍🍼,woman feeding baby medium-light skin tone,Mujer alimentando el bebé tono de piel de luz media,Mulher alimentando o tom de pele de luz média do bebê
👩🏽‍🍼,woman feeding baby medium skin tone,Mujer alimentando el bebé tono de piel mediana,Mulher alimentando o tom de pele média bebê
👩‍🚒,woman firefighter,mujer bomba,Mulher Bombeiro
👩🏿‍🚒,woman firefighter dark skin tone,Mujer bombero tono de piel oscura,Mulher bombeiro do bombeiro da pele escura
👩🏻‍🚒,woman firefighter light skin tone,Tono de piel clara de bombero de mujer,Tom da pele leve do bombeiro da mulher
👩🏾‍🚒,woman firefighter medium-dark skin tone,Mujer bombero tono de piel de color medio-dark,Mulher bombeiro do bom tom de pele de escuro médio
👩🏼‍🚒,woman firefighter medium-light skin tone,Mujer bombero tono de piel de luz media,Tom de pele de luz de bombeiro bombeiro da mulher
👩🏽‍🚒,woman firefighter medium skin tone,Mujer Firefighter Medium Skin Tono,Tom de pele média do bombeiro da mulher
🙍‍♀️,woman frowning,Mujer frunciendo el ceño,mulher franzindo a testa
🙍‍♀,woman frowning,Mujer frunciendo el ceño,mulher franzindo a testa
🙍🏿‍♀️,woman frowning dark skin tone,Mujer frunciendo el tono de piel oscura,Mulher franzindo a testa do tom de pele escura
🙍🏿‍♀,woman frowning dark skin tone,Mujer frunciendo el tono de piel oscura,Mulher franzindo a testa do tom de pele escura
🙍🏻‍♀️,woman frowning light skin tone,Mujer frunciendo el tono de piel clara,Mulher franzindo a testa do tom de pele clara
🙍🏻‍♀,woman frowning light skin tone,Mujer frunciendo el tono de piel clara,Mulher franzindo a testa do tom de pele clara
🙍🏾‍♀️,woman frowning medium-dark skin tone,Mujer frunciendo el ceño de piel de la piel medio-oscuridad,Mulher franzindo a testa do tom de pele média-escuro
🙍🏾‍♀,woman frowning medium-dark skin tone,Mujer frunciendo el ceño de piel de la piel medio-oscuridad,Mulher franzindo a testa do tom de pele média-escuro
🙍🏼‍♀️,woman frowning medium-light skin tone,Mujer frunciendo el tono de piel de luz media,Mulher franzindo a testa do tom de pele de luz média
🙍🏼‍♀,woman frowning medium-light skin tone,Mujer frunciendo el tono de piel de luz media,Mulher franzindo a testa do tom de pele de luz média
🙍🏽‍♀️,woman frowning medium skin tone,Mujer frunciendo el tono de piel mediana,Mulher franzindo a testa do tom de pele média
🙍🏽‍♀,woman frowning medium skin tone,Mujer frunciendo el tono de piel mediana,Mulher franzindo a testa do tom de pele média
🧞‍♀️,woman genie,Mujer genio,Mulher Genie
🧞‍♀,woman genie,Mujer genio,Mulher Genie
🙅‍♀️,woman gesturing NO,Mujer señalando no,Mulher gesticulando não
🙅‍♀,woman gesturing NO,Mujer señalando no,Mulher gesticulando não
🙅🏿‍♀️,woman gesturing NO dark skin tone,Mujer gestionando sin tono de piel oscura,Mulher gesticulando sem tom de pele escura
🙅🏿‍♀,woman gesturing NO dark skin tone,Mujer gestionando sin tono de piel oscura,Mulher gesticulando sem tom de pele escura
🙅🏻‍♀️,woman gesturing NO light skin tone,Mujer gestionando sin tono de piel clara,Mulher gesticulando sem tom de pele leve
🙅🏻‍♀,woman gesturing NO light skin tone,Mujer gestionando sin tono de piel clara,Mulher gesticulando sem tom de pele leve
🙅🏾‍♀️,woman gesturing NO medium-dark skin tone,Mujer gestionando sin tono de piel medio-oscuridad,Mulher gesticulando sem tom de pele média escuro
🙅🏾‍♀,woman gesturing NO medium-dark skin tone,Mujer gestionando sin tono de piel medio-oscuridad,Mulher gesticulando sem tom de pele média escuro
🙅🏼‍♀️,woman gesturing NO medium-light skin tone,Mujer gestizando sin tono de piel de luz media,Mulher gesticulando nenhum tom de pele de luz média
🙅🏼‍♀,woman gesturing NO medium-light skin tone,Mujer gestizando sin tono de piel de luz media,Mulher gesticulando nenhum tom de pele de luz média
🙅🏽‍♀️,woman gesturing NO medium skin tone,Mujer gestionando sin tono de piel mediana,Mulher gesticulando sem tom de pele média
🙅🏽‍♀,woman gesturing NO medium skin tone,Mujer gestionando sin tono de piel mediana,Mulher gesticulando sem tom de pele média
🙆‍♀️,woman gesturing OK,mujer gesticing ok,Mulher gesticulando ok
🙆‍♀,woman gesturing OK,mujer gesticing ok,Mulher gesticulando ok
🙆🏿‍♀️,woman gesturing OK dark skin tone,mujer gesticing ok tono de piel oscura,Mulher gesticulando OK Tom de pele escura
🙆🏿‍♀,woman gesturing OK dark skin tone,mujer gesticing ok tono de piel oscura,Mulher gesticulando OK Tom de pele escura
🙆🏻‍♀️,woman gesturing OK light skin tone,mujer gesticing ok tono de piel claro,Mulher gesticulando OK Tom de pele leve
🙆🏻‍♀,woman gesturing OK light skin tone,mujer gesticing ok tono de piel claro,Mulher gesticulando OK Tom de pele leve
🙆🏾‍♀️,woman gesturing OK medium-dark skin tone,mujer gesticing ok tono de piel medio-oscuridad,Mulher gesticulando OK Tom de pele média-escuro
🙆🏾‍♀,woman gesturing OK medium-dark skin tone,mujer gesticing ok tono de piel medio-oscuridad,Mulher gesticulando OK Tom de pele média-escuro
🙆🏼‍♀️,woman gesturing OK medium-light skin tone,mujer gesticing ok tono de piel de luz media,Mulher gesticulando ok tom de pele de luz média
🙆🏼‍♀,woman gesturing OK medium-light skin tone,mujer gesticing ok tono de piel de luz media,Mulher gesticulando ok tom de pele de luz média
🙆🏽‍♀️,woman gesturing OK medium skin tone,mujer gesticing ok tono de piel mediana,Mulher gesticulando ok tom de pele média
🙆🏽‍♀,woman gesturing OK medium skin tone,mujer gesticing ok tono de piel mediana,Mulher gesticulando ok tom de pele média
💇‍♀️,woman getting haircut,Mujer cortando el pelo,mulher fazendo corte de cabelo
💇‍♀,woman getting haircut,Mujer cortando el pelo,mulher fazendo corte de cabelo
💇🏿‍♀️,woman getting haircut dark skin tone,Mujer que se corta el corte de pelo tono de piel oscura,Mulher fazendo corte de cabelo para o tom escuro da pele
💇🏿‍♀,woman getting haircut dark skin tone,Mujer que se corta el corte de pelo tono de piel oscura,Mulher fazendo corte de cabelo para o tom escuro da pele
💇🏻‍♀️,woman getting haircut light skin tone,Mujer que se corta el corte de pelo tono de piel clara,Mulher fazendo um tom de pele de cabelo leve
💇🏻‍♀,woman getting haircut light skin tone,Mujer que se corta el corte de pelo tono de piel clara,Mulher fazendo um tom de pele de cabelo leve
💇🏾‍♀️,woman getting haircut medium-dark skin tone,Mujer que se corta el corte de pelo tono de piel medio-oscuridad,Mulher fazendo cabelo de cabelo médio-escuro
💇🏾‍♀,woman getting haircut medium-dark skin tone,Mujer que se corta el corte de pelo tono de piel medio-oscuridad,Mulher fazendo cabelo de cabelo médio-escuro
💇🏼‍♀️,woman getting haircut medium-light skin tone,Mujer que se corta el corte de pelo tono de piel de luz media,Mulher fazendo um tom de pele de luz de cabelo médio
💇🏼‍♀,woman getting haircut medium-light skin tone,Mujer que se corta el corte de pelo tono de piel de luz media,Mulher fazendo um tom de pele de luz de cabelo médio
💇🏽‍♀️,woman getting haircut medium skin tone,Mujer que se corta el corte de pelo tono de piel mediana,Mulher fazendo corte de cabelo de pele média
💇🏽‍♀,woman getting haircut medium skin tone,Mujer que se corta el corte de pelo tono de piel mediana,Mulher fazendo corte de cabelo de pele média
💆‍♀️,woman getting massage,Mujer recibiendo masaje,mulher recebendo massagem
💆‍♀,woman getting massage,Mujer recibiendo masaje,mulher recebendo massagem
💆🏿‍♀️,woman getting massage dark skin tone,mujer recibiendo masaje tono de piel oscura,Mulher recebendo massagem Tom de pele escura
💆🏿‍♀,woman getting massage dark skin tone,mujer recibiendo masaje tono de piel oscura,Mulher recebendo massagem Tom de pele escura
💆🏻‍♀️,woman getting massage light skin tone,Mujer recibiendo masaje de piel clara,Mulher recebendo massagem Tom de pele clara
💆🏻‍♀,woman getting massage light skin tone,Mujer recibiendo masaje de piel clara,Mulher recebendo massagem Tom de pele clara
💆🏾‍♀️,woman getting massage medium-dark skin tone,Mujer recibiendo masaje tono de piel mediana y oscura,Mulher recebendo massagem Tom de pele média-escura
💆🏾‍♀,woman getting massage medium-dark skin tone,Mujer recibiendo masaje tono de piel mediana y oscura,Mulher recebendo massagem Tom de pele média-escura
💆🏼‍♀️,woman getting massage medium-light skin tone,mujer recibiendo masaje tono de piel de luz media,Mulher recebendo massagem tom de pele de luz média
💆🏼‍♀,woman getting massage medium-light skin tone,mujer recibiendo masaje tono de piel de luz media,Mulher recebendo massagem tom de pele de luz média
💆🏽‍♀️,woman getting massage medium skin tone,mujer recibiendo masaje tono de piel mediana,Mulher recebendo massagem Tom de pele média
💆🏽‍♀,woman getting massage medium skin tone,mujer recibiendo masaje tono de piel mediana,Mulher recebendo massagem Tom de pele média
🏌️‍♀️,woman golfing,mujer golf,Mulher golfe
🏌‍♀️,woman golfing,mujer golf,Mulher golfe
🏌️‍♀,woman golfing,mujer golf,Mulher golfe
🏌‍♀,woman golfing,mujer golf,Mulher golfe
🏌🏿‍♀️,woman golfing dark skin tone,Mujer jugando al tono de piel oscura,Mulher golfe Tom de pele escura
🏌🏿‍♀,woman golfing dark skin tone,Mujer jugando al tono de piel oscura,Mulher golfe Tom de pele escura
🏌🏻‍♀️,woman golfing light skin tone,Mujer tono de piel clara de golf,Mulher golfe para o tom de pele leve
🏌🏻‍♀,woman golfing light skin tone,Mujer tono de piel clara de golf,Mulher golfe para o tom de pele leve
🏌🏾‍♀️,woman golfing medium-dark skin tone,Mujer golfing tono de piel medio-oscuridad,Mulher golfe Tom de pele média-escuro
🏌🏾‍♀,woman golfing medium-dark skin tone,Mujer golfing tono de piel medio-oscuridad,Mulher golfe Tom de pele média-escuro
🏌🏼‍♀️,woman golfing medium-light skin tone,Mujer golf de piel de piel media de luz media,Mulher golfe para o tom de pele de luz média
🏌🏼‍♀,woman golfing medium-light skin tone,Mujer golf de piel de piel media de luz media,Mulher golfe para o tom de pele de luz média
🏌🏽‍♀️,woman golfing medium skin tone,Mujer tono de piel mediana de golf,Mulher golfe Tom de pele média
🏌🏽‍♀,woman golfing medium skin tone,Mujer tono de piel mediana de golf,Mulher golfe Tom de pele média
💂‍♀️,woman guard,guardia,guarda da mulher
💂‍♀,woman guard,guardia,guarda da mulher
💂🏿‍♀️,woman guard dark skin tone,Mujer guardia tono de piel oscura,Mulher Guarda Tom da pele escura
💂🏿‍♀,woman guard dark skin tone,Mujer guardia tono de piel oscura,Mulher Guarda Tom da pele escura
💂🏻‍♀️,woman guard light skin tone,Mujer guardia tono de piel claro,Mulher Guarda Tom da pele clara
💂🏻‍♀,woman guard light skin tone,Mujer guardia tono de piel claro,Mulher Guarda Tom da pele clara
💂🏾‍♀️,woman guard medium-dark skin tone,Mujer guardia tono de piel medio-oscuridad,Mulher Guard Tom de pele média-escuro
💂🏾‍♀,woman guard medium-dark skin tone,Mujer guardia tono de piel medio-oscuridad,Mulher Guard Tom de pele média-escuro
💂🏼‍♀️,woman guard medium-light skin tone,Mujer guardia tono de piel de luz media,Mulher Guarda Tom de pele de luz média
💂🏼‍♀,woman guard medium-light skin tone,Mujer guardia tono de piel de luz media,Mulher Guarda Tom de pele de luz média
💂🏽‍♀️,woman guard medium skin tone,Mujer guardia tono de piel mediana,Mulher Guarda de Tom Média de Pele
💂🏽‍♀,woman guard medium skin tone,Mujer guardia tono de piel mediana,Mulher Guarda de Tom Média de Pele
👩‍⚕️,woman health worker,trabajadora de salud,Trabalhador de Saúde da Mulher
👩‍⚕,woman health worker,trabajadora de salud,Trabalhador de Saúde da Mulher
👩🏿‍⚕️,woman health worker dark skin tone,Mujer trabajadora de salud tono de piel oscura,Tono da pele escura de saúde da mulher
👩🏿‍⚕,woman health worker dark skin tone,Mujer trabajadora de salud tono de piel oscura,Tono da pele escura de saúde da mulher
👩🏻‍⚕️,woman health worker light skin tone,Mujer Health Worker Light Skin Tono,Tom de pele de saúde da mulher
👩🏻‍⚕,woman health worker light skin tone,Mujer Health Worker Light Skin Tono,Tom de pele de saúde da mulher
👩🏾‍⚕️,woman health worker medium-dark skin tone,Mujer trabajadora de salud tono de piel medio-oscuridad,Tom de pele médio-escuro da mulher
👩🏾‍⚕,woman health worker medium-dark skin tone,Mujer trabajadora de salud tono de piel medio-oscuridad,Tom de pele médio-escuro da mulher
👩🏼‍⚕️,woman health worker medium-light skin tone,Mujer trabajadora de salud tono de piel de luz media,Tom de pele de saúde de saúde da mulher
👩🏼‍⚕,woman health worker medium-light skin tone,Mujer trabajadora de salud tono de piel de luz media,Tom de pele de saúde de saúde da mulher
👩🏽‍⚕️,woman health worker medium skin tone,mujer trabajadora de salud tono de piel mediana,Tom de pele de saúde de saúde da mulher
👩🏽‍⚕,woman health worker medium skin tone,mujer trabajadora de salud tono de piel mediana,Tom de pele de saúde de saúde da mulher
🧘‍♀️,woman in lotus position,Mujer en posición de loto,Mulher na posição de lótus
🧘‍♀,woman in lotus position,Mujer en posición de loto,Mulher na posição de lótus
🧘🏿‍♀️,woman in lotus position dark skin tone,Mujer en la posición de loto tono de piel oscura,Mulher em Lotus Position Tom de pele escura
🧘🏿‍♀,woman in lotus position dark skin tone,Mujer en la posición de loto tono de piel oscura,Mulher em Lotus Position Tom de pele escura
🧘🏻‍♀️,woman in lotus position light skin tone,Mujer en el loto Posición de la piel clara Tono,Mulher em Lotus Position Skin Tom
🧘🏻‍♀,woman in lotus position light skin tone,Mujer en el loto Posición de la piel clara Tono,Mulher em Lotus Position Skin Tom
🧘🏾‍♀️,woman in lotus position medium-dark skin tone,Mujer en la posición de loto tono de piel medio-oscuridad,Mulher na posição de lótus Tom de pele média-escura
🧘🏾‍♀,woman in lotus position medium-dark skin tone,Mujer en la posición de loto tono de piel medio-oscuridad,Mulher na posição de lótus Tom de pele média-escura
🧘🏼‍♀️,woman in lotus position medium-light skin tone,Mujer en la posición de loto tono de piel de luz media,Mulher em Lotus Posição Tom de pele de luz média
🧘🏼‍♀,woman in lotus position medium-light skin tone,Mujer en la posición de loto tono de piel de luz media,Mulher em Lotus Posição Tom de pele de luz média
🧘🏽‍♀️,woman in lotus position medium skin tone,Mujer en la posición de loto tono de piel media,Mulher em Lotus Position Tom de pele média
🧘🏽‍♀,woman in lotus position medium skin tone,Mujer en la posición de loto tono de piel media,Mulher em Lotus Position Tom de pele média
👩‍🦽,woman in manual wheelchair,Mujer en silla de ruedas manual,mulher em cadeira de rodas manual
👩🏿‍🦽,woman in manual wheelchair dark skin tone,mujer en silla de ruedas manual tono de piel oscura,Mulher em cadeira de rodas manual Tom escuro
👩‍🦽‍➡️,woman in manual wheelchair facing right,Mujer en silla de ruedas manual mirando a la derecha,Mulher em cadeira de rodas manual voltada para a direita
👩‍🦽‍➡,woman in manual wheelchair facing right,Mujer en silla de ruedas manual mirando a la derecha,Mulher em cadeira de rodas manual voltada para a direita
👩🏿‍🦽‍➡️,woman in manual wheelchair facing right dark skin tone,Mujer en silla de ruedas manual mirando a la derecha tono de piel oscura,Mulher em cadeira de rodas manual voltada para o tom da pele escura
👩🏿‍🦽‍➡,woman in manual wheelchair facing right dark skin tone,Mujer en silla de ruedas manual mirando a la derecha tono de piel oscura,Mulher em cadeira de rodas manual voltada para o tom da pele escura
👩🏻‍🦽‍➡️,woman in manual wheelchair facing right light skin tone,Mujer en silla de ruedas manual que mira a la luz derecha tono de piel clara,Mulher em cadeira de rodas manual voltada para o tom da pele clara
👩🏻‍🦽‍➡,woman in manual wheelchair facing right light skin tone,Mujer en silla de ruedas manual que mira a la luz derecha tono de piel clara,Mulher em cadeira de rodas manual voltada para o tom da pele clara
👩🏾‍🦽‍➡️,woman in manual wheelchair facing right medium-dark skin tone,Mujer en silla de ruedas manual que mira a la derecha tono de piel medio-oscuridad,Mulher em cadeira de rodas manual voltada para o tom de pele média-escuro
👩🏾‍🦽‍➡,woman in manual wheelchair facing right medium-dark skin tone,Mujer en silla de ruedas manual que mira a la derecha tono de piel medio-oscuridad,Mulher em cadeira de rodas manual voltada para o tom de pele média-escuro
👩🏼‍🦽‍➡️,woman in manual wheelchair facing right medium-light skin tone,Mujer en silla de ruedas manual que mira a la derecha tono de piel de luz media,Mulher em cadeira de rodas manual voltada para o tom da pele média à direita
👩🏼‍🦽‍➡,woman in manual wheelchair facing right medium-light skin tone,Mujer en silla de ruedas manual que mira a la derecha tono de piel de luz media,Mulher em cadeira de rodas manual voltada para o tom da pele média à direita
👩🏽‍🦽‍➡️,woman in manual wheelchair facing right medium skin tone,Mujer en silla de ruedas manual que mira el tono de piel medio derecho,Mulher em cadeira de rodas manual voltada para o tom da pele média
👩🏽‍🦽‍➡,woman in manual wheelchair facing right medium skin tone,Mujer en silla de ruedas manual que mira el tono de piel medio derecho,Mulher em cadeira de rodas manual voltada para o tom da pele média
👩🏻‍🦽,woman in manual wheelchair light skin tone,mujer en silla de ruedas manual tono de piel claro,Mulher em tom de pele de cadeira de rodas manual
👩🏾‍🦽,woman in manual wheelchair medium-dark skin tone,Mujer en silla de ruedas manual tono de piel medio-oscuridad,Mulher em cadeira de rodas manual Tom de pele média-escura
👩🏼‍🦽,woman in manual wheelchair medium-light skin tone,mujer en silla de ruedas manual tono de piel de luz media,Mulher em cadeira de rodas manual Tom de pele de luz média
👩🏽‍🦽,woman in manual wheelchair medium skin tone,Mujer en silla de ruedas manual tono de piel mediana,Mulher em tom de pele de cadeira de rodas manual
👩‍🦼,woman in motorized wheelchair,Mujer en silla de ruedas motorizada,mulher em cadeira de rodas motorizada
👩🏿‍🦼,woman in motorized wheelchair dark skin tone,Mujer en el tono de piel oscura de silla de ruedas motorizada,Mulher em cadeira de rodas motorizada tom de pele escura
👩‍🦼‍➡️,woman in motorized wheelchair facing right,Mujer en silla de ruedas motorizada hacia la derecha,Mulher em cadeira de rodas motorizada voltada para a direita
👩‍🦼‍➡,woman in motorized wheelchair facing right,Mujer en silla de ruedas motorizada hacia la derecha,Mulher em cadeira de rodas motorizada voltada para a direita
